Entity,Code,Date,total_vaccinations
Alaska,,2021-01-27,101597
Alaska,,2021-01-28,105858
Alaska,,2021-01-29,110396
Alaska,,2021-01-30,115268
Alaska,,2021-01-31,119590
Alaska,,2021-02-01,122020
Alaska,,2021-02-02,123443
Alaska,,2021-02-03,125765
Alaska,,2021-02-04,129936
Alaska,,2021-02-05,134002
Alaska,,2021-02-06,139147
Alaska,,2021-02-07,146082
Alaska,,2021-02-08,150934
Alaska,,2021-02-09,152874
Alaska,,2021-02-10,156255
Alaska,,2021-02-11,162273
Alaska,,2021-02-12,167436
Alaska,,2021-02-13,175138
Alaska,,2021-02-14,183831
Alaska,,2021-02-16,191008
Alaska,,2021-02-17,193617
Alaska,,2021-02-18,199151
Alaska,,2021-02-19,216223
Alaska,,2021-02-20,227403
Alaska,,2021-02-21,235141
Alaska,,2021-02-22,238279
Alaska,,2021-02-23,239927
Alaska,,2021-02-24,243650
Alaska,,2021-02-25,249559
Alaska,,2021-02-26,254334
Alaska,,2021-02-27,259538
Alaska,,2021-02-28,264741
Alaska,,2021-03-01,268406
Alaska,,2021-03-02,269941
Alaska,,2021-03-03,273350
Alaska,,2021-03-04,276891
Alaska,,2021-03-05,281467
Alaska,,2021-03-06,288625
Alaska,,2021-03-07,295046
Alaska,,2021-03-08,298144
Alaska,,2021-03-09,302687
Alaska,,2021-03-10,307769
Alaska,,2021-03-11,313365
American Samoa,ASM,2021-01-12,2124
American Samoa,ASM,2021-01-13,2577
American Samoa,ASM,2021-01-14,2971
American Samoa,ASM,2021-01-15,3883
American Samoa,ASM,2021-01-19,4756
American Samoa,ASM,2021-01-20,5313
American Samoa,ASM,2021-01-21,5664
American Samoa,ASM,2021-01-22,6569
American Samoa,ASM,2021-01-23,6831
American Samoa,ASM,2021-01-24,8046
American Samoa,ASM,2021-01-25,8046
American Samoa,ASM,2021-01-26,8315
American Samoa,ASM,2021-01-27,9085
American Samoa,ASM,2021-01-28,9085
American Samoa,ASM,2021-01-29,9925
American Samoa,ASM,2021-01-30,9925
American Samoa,ASM,2021-01-31,9925
American Samoa,ASM,2021-02-01,10761
American Samoa,ASM,2021-02-02,10761
American Samoa,ASM,2021-02-03,11066
American Samoa,ASM,2021-02-04,11257
American Samoa,ASM,2021-02-05,12029
American Samoa,ASM,2021-02-06,12259
American Samoa,ASM,2021-02-07,12259
American Samoa,ASM,2021-02-08,12259
American Samoa,ASM,2021-02-09,12680
American Samoa,ASM,2021-02-10,13318
American Samoa,ASM,2021-02-11,13513
American Samoa,ASM,2021-02-12,15032
American Samoa,ASM,2021-02-13,15382
American Samoa,ASM,2021-02-14,15382
American Samoa,ASM,2021-02-16,16109
American Samoa,ASM,2021-02-17,16269
American Samoa,ASM,2021-02-18,16269
American Samoa,ASM,2021-02-19,16269
American Samoa,ASM,2021-02-20,17740
American Samoa,ASM,2021-02-21,18778
American Samoa,ASM,2021-02-22,18816
American Samoa,ASM,2021-02-23,18816
American Samoa,ASM,2021-02-24,19739
American Samoa,ASM,2021-02-25,19739
American Samoa,ASM,2021-02-26,20336
American Samoa,ASM,2021-02-27,20338
American Samoa,ASM,2021-02-28,20338
American Samoa,ASM,2021-03-01,20338
American Samoa,ASM,2021-03-02,21079
American Samoa,ASM,2021-03-03,21079
American Samoa,ASM,2021-03-04,21625
American Samoa,ASM,2021-03-05,21625
American Samoa,ASM,2021-03-06,21625
American Samoa,ASM,2021-03-07,21625
American Samoa,ASM,2021-03-08,21625
American Samoa,ASM,2021-03-09,21625
American Samoa,ASM,2021-03-10,23696
American Samoa,ASM,2021-03-11,23696
Arizona,,2021-01-12,141355
Arizona,,2021-01-13,154745
Arizona,,2021-01-14,173665
Arizona,,2021-01-15,197086
Arizona,,2021-01-19,266276
Arizona,,2021-01-20,281887
Arizona,,2021-01-21,303899
Arizona,,2021-01-22,329349
Arizona,,2021-01-23,360958
Arizona,,2021-01-24,390623
Arizona,,2021-01-25,413662
Arizona,,2021-01-26,430892
Arizona,,2021-01-27,458258
Arizona,,2021-01-28,487149
Arizona,,2021-01-29,521097
Arizona,,2021-01-30,557369
Arizona,,2021-01-31,594104
Arizona,,2021-02-01,620608
Arizona,,2021-02-02,631662
Arizona,,2021-02-03,656040
Arizona,,2021-02-04,686116
Arizona,,2021-02-05,719458
Arizona,,2021-02-06,766788
Arizona,,2021-02-07,809230
Arizona,,2021-02-08,841018
Arizona,,2021-02-09,863807
Arizona,,2021-02-10,897757
Arizona,,2021-02-11,941575
Arizona,,2021-02-12,990296
Arizona,,2021-02-13,1041021
Arizona,,2021-02-14,1089155
Arizona,,2021-02-16,1154583
Arizona,,2021-02-17,1164900
Arizona,,2021-02-18,1202770
Arizona,,2021-02-19,1376405
Arizona,,2021-02-20,1425295
Arizona,,2021-02-21,1469676
Arizona,,2021-02-22,1506572
Arizona,,2021-02-23,1525794
Arizona,,2021-02-24,1555942
Arizona,,2021-02-25,1607544
Arizona,,2021-02-26,1671294
Arizona,,2021-02-27,1728239
Arizona,,2021-02-28,1792447
Arizona,,2021-03-01,1849259
Arizona,,2021-03-02,1889742
Arizona,,2021-03-03,1930999
Arizona,,2021-03-04,1979929
Arizona,,2021-03-05,2038623
Arizona,,2021-03-06,2043739
Arizona,,2021-03-07,2162602
Arizona,,2021-03-08,2215219
Arizona,,2021-03-09,2245854
Arizona,,2021-03-10,2293559
Arizona,,2021-03-11,2350374
Arkansas,,2021-01-12,40879
Arkansas,,2021-01-13,94854
Arkansas,,2021-01-14,108316
Arkansas,,2021-01-15,118338
Arkansas,,2021-01-19,142337
Arkansas,,2021-01-20,173312
Arkansas,,2021-01-21,173312
Arkansas,,2021-01-22,201676
Arkansas,,2021-01-23,201676
Arkansas,,2021-01-24,214240
Arkansas,,2021-01-25,221095
Arkansas,,2021-01-26,236290
Arkansas,,2021-01-27,252824
Arkansas,,2021-01-28,252824
Arkansas,,2021-01-29,269993
Arkansas,,2021-01-30,288651
Arkansas,,2021-01-31,303793
Arkansas,,2021-02-01,311230
Arkansas,,2021-02-02,314470
Arkansas,,2021-02-03,322447
Arkansas,,2021-02-04,338227
Arkansas,,2021-02-05,351175
Arkansas,,2021-02-06,374674
Arkansas,,2021-02-07,393445
Arkansas,,2021-02-08,401664
Arkansas,,2021-02-09,404127
Arkansas,,2021-02-10,418054
Arkansas,,2021-02-11,430803
Arkansas,,2021-02-12,447146
Arkansas,,2021-02-13,457386
Arkansas,,2021-02-14,472536
Arkansas,,2021-02-16,483438
Arkansas,,2021-02-17,486949
Arkansas,,2021-02-18,490737
Arkansas,,2021-02-19,517271
Arkansas,,2021-02-20,520904
Arkansas,,2021-02-21,528467
Arkansas,,2021-02-22,535413
Arkansas,,2021-02-23,540192
Arkansas,,2021-02-24,554466
Arkansas,,2021-02-25,572553
Arkansas,,2021-02-26,597990
Arkansas,,2021-02-27,622665
Arkansas,,2021-02-28,649311
Arkansas,,2021-03-01,661572
Arkansas,,2021-03-02,670815
Arkansas,,2021-03-03,687433
Arkansas,,2021-03-04,704368
Arkansas,,2021-03-05,723756
Arkansas,,2021-03-06,744139
Arkansas,,2021-03-07,765260
Arkansas,,2021-03-08,773357
Arkansas,,2021-03-09,782750
Arkansas,,2021-03-10,799184
Arkansas,,2021-03-11,800091
Bureau of Prisons,,2021-01-12,14663
Bureau of Prisons,,2021-01-13,15694
Bureau of Prisons,,2021-01-14,16118
Bureau of Prisons,,2021-01-15,16685
Bureau of Prisons,,2021-01-19,17628
Bureau of Prisons,,2021-01-20,19076
Bureau of Prisons,,2021-01-21,20838
Bureau of Prisons,,2021-01-22,21315
Bureau of Prisons,,2021-01-23,23345
Bureau of Prisons,,2021-01-24,24082
Bureau of Prisons,,2021-01-25,24360
Bureau of Prisons,,2021-01-26,25513
Bureau of Prisons,,2021-01-27,27326
Bureau of Prisons,,2021-01-28,28514
Bureau of Prisons,,2021-01-29,29754
Bureau of Prisons,,2021-01-30,30945
Bureau of Prisons,,2021-01-31,31285
Bureau of Prisons,,2021-02-01,31285
Bureau of Prisons,,2021-02-02,32349
Bureau of Prisons,,2021-02-03,34255
Bureau of Prisons,,2021-02-04,36195
Bureau of Prisons,,2021-02-05,38164
Bureau of Prisons,,2021-02-06,39616
Bureau of Prisons,,2021-02-07,40333
Bureau of Prisons,,2021-02-08,40333
Bureau of Prisons,,2021-02-09,41040
Bureau of Prisons,,2021-02-10,42751
Bureau of Prisons,,2021-02-11,44177
Bureau of Prisons,,2021-02-12,45617
Bureau of Prisons,,2021-02-13,46926
Bureau of Prisons,,2021-02-14,47564
Bureau of Prisons,,2021-02-16,48090
Bureau of Prisons,,2021-02-17,48614
Bureau of Prisons,,2021-02-18,49050
Bureau of Prisons,,2021-02-19,49913
Bureau of Prisons,,2021-02-20,51072
Bureau of Prisons,,2021-02-21,52266
Bureau of Prisons,,2021-02-22,52347
Bureau of Prisons,,2021-02-23,52743
Bureau of Prisons,,2021-02-24,53728
Bureau of Prisons,,2021-02-25,55100
Bureau of Prisons,,2021-02-26,57396
Bureau of Prisons,,2021-02-27,59234
Bureau of Prisons,,2021-02-28,60283
Bureau of Prisons,,2021-03-01,60283
Bureau of Prisons,,2021-03-02,61002
Bureau of Prisons,,2021-03-03,62745
Bureau of Prisons,,2021-03-04,66375
Bureau of Prisons,,2021-03-05,70129
Bureau of Prisons,,2021-03-06,71759
Bureau of Prisons,,2021-03-07,72174
Bureau of Prisons,,2021-03-08,72174
Bureau of Prisons,,2021-03-09,72539
Bureau of Prisons,,2021-03-10,73254
Bureau of Prisons,,2021-03-11,76224
California,,2021-01-12,816301
California,,2021-01-13,891489
California,,2021-01-14,975293
California,,2021-01-15,1072959
California,,2021-01-19,1460430
California,,2021-01-20,1532329
California,,2021-01-21,1633875
California,,2021-01-22,1803679
California,,2021-01-23,2008220
California,,2021-01-24,2199908
California,,2021-01-25,2330633
California,,2021-01-26,2446577
California,,2021-01-27,2579666
California,,2021-01-28,2746876
California,,2021-01-29,2910562
California,,2021-01-30,3095781
California,,2021-01-31,3285351
California,,2021-02-01,3453284
California,,2021-02-02,3543817
California,,2021-02-03,3671316
California,,2021-02-04,3723803
California,,2021-02-05,3920632
California,,2021-02-06,4137600
California,,2021-02-07,4485166
California,,2021-02-08,4682862
California,,2021-02-09,4784478
California,,2021-02-10,4957297
California,,2021-02-11,5134864
California,,2021-02-12,5341104
California,,2021-02-13,5562553
California,,2021-02-14,5820388
California,,2021-02-16,6210992
California,,2021-02-17,6323011
California,,2021-02-18,6496140
California,,2021-02-19,6964603
California,,2021-02-20,7201713
California,,2021-02-21,7453468
California,,2021-02-22,7604725
California,,2021-02-23,7728120
California,,2021-02-24,7876011
California,,2021-02-25,8064121
California,,2021-02-26,8310945
California,,2021-02-27,8566470
California,,2021-02-28,8821044
California,,2021-03-01,9106077
California,,2021-03-02,9497125
California,,2021-03-03,9731169
California,,2021-03-04,9860209
California,,2021-03-05,10071476
California,,2021-03-06,10415023
California,,2021-03-07,10634752
California,,2021-03-08,10805474
California,,2021-03-09,10925581
California,,2021-03-10,11062505
California,,2021-03-11,11220508
Colorado,,2021-01-12,224428
Colorado,,2021-01-13,239665
Colorado,,2021-01-14,254706
Colorado,,2021-01-15,272233
Colorado,,2021-01-19,330292
Colorado,,2021-01-20,340438
Colorado,,2021-01-21,353194
Colorado,,2021-01-22,377283
Colorado,,2021-01-23,377283
Colorado,,2021-01-24,434496
Colorado,,2021-01-25,447880
Colorado,,2021-01-26,457746
Colorado,,2021-01-27,474527
Colorado,,2021-01-28,495706
Colorado,,2021-01-29,521879
Colorado,,2021-01-30,545356
Colorado,,2021-01-31,569234
Colorado,,2021-02-01,589787
Colorado,,2021-02-02,601347
Colorado,,2021-02-03,617125
Colorado,,2021-02-04,638923
Colorado,,2021-02-05,661703
Colorado,,2021-02-06,694860
Colorado,,2021-02-07,729895
Colorado,,2021-02-08,751960
Colorado,,2021-02-09,757560
Colorado,,2021-02-10,787041
Colorado,,2021-02-11,815108
Colorado,,2021-02-12,844620
Colorado,,2021-02-13,885581
Colorado,,2021-02-14,926807
Colorado,,2021-02-16,1000597
Colorado,,2021-02-17,1024167
Colorado,,2021-02-18,1053041
Colorado,,2021-02-19,1132448
Colorado,,2021-02-20,1167895
Colorado,,2021-02-21,1202161
Colorado,,2021-02-22,1231699
Colorado,,2021-02-23,1233466
Colorado,,2021-02-24,1268302
Colorado,,2021-02-25,1294236
Colorado,,2021-02-26,1323183
Colorado,,2021-02-27,1324715
Colorado,,2021-02-28,1371577
Colorado,,2021-03-01,1412910
Colorado,,2021-03-02,1428854
Colorado,,2021-03-03,1462053
Colorado,,2021-03-04,1494910
Colorado,,2021-03-05,1528864
Colorado,,2021-03-06,1580162
Colorado,,2021-03-07,1626499
Colorado,,2021-03-08,1627458
Colorado,,2021-03-09,1650716
Colorado,,2021-03-10,1694476
Colorado,,2021-03-11,1764066
Connecticut,,2021-01-12,151395
Connecticut,,2021-01-13,161875
Connecticut,,2021-01-14,171897
Connecticut,,2021-01-15,185866
Connecticut,,2021-01-19,229524
Connecticut,,2021-01-20,243140
Connecticut,,2021-01-21,264707
Connecticut,,2021-01-22,287440
Connecticut,,2021-01-23,306796
Connecticut,,2021-01-24,321737
Connecticut,,2021-01-25,331264
Connecticut,,2021-01-26,342643
Connecticut,,2021-01-27,360991
Connecticut,,2021-01-28,381160
Connecticut,,2021-01-29,403370
Connecticut,,2021-01-30,421191
Connecticut,,2021-01-31,436842
Connecticut,,2021-02-01,449253
Connecticut,,2021-02-02,456090
Connecticut,,2021-02-03,465008
Connecticut,,2021-02-04,481826
Connecticut,,2021-02-05,502347
Connecticut,,2021-02-06,519400
Connecticut,,2021-02-07,533941
Connecticut,,2021-02-08,542414
Connecticut,,2021-02-09,554322
Connecticut,,2021-02-10,574750
Connecticut,,2021-02-11,600249
Connecticut,,2021-02-12,626678
Connecticut,,2021-02-13,654766
Connecticut,,2021-02-14,674704
Connecticut,,2021-02-16,711142
Connecticut,,2021-02-17,738191
Connecticut,,2021-02-18,767183
Connecticut,,2021-02-19,822615
Connecticut,,2021-02-20,847820
Connecticut,,2021-02-21,860534
Connecticut,,2021-02-22,882777
Connecticut,,2021-02-23,892882
Connecticut,,2021-02-24,912033
Connecticut,,2021-02-25,925946
Connecticut,,2021-02-26,954153
Connecticut,,2021-02-27,980211
Connecticut,,2021-02-28,1004467
Connecticut,,2021-03-01,1031305
Connecticut,,2021-03-02,1040154
Connecticut,,2021-03-03,1061375
Connecticut,,2021-03-04,1087313
Connecticut,,2021-03-05,1121517
Connecticut,,2021-03-06,1157114
Connecticut,,2021-03-07,1195617
Connecticut,,2021-03-08,1228865
Connecticut,,2021-03-09,1245687
Connecticut,,2021-03-10,1272581
Connecticut,,2021-03-11,1304302
Delaware,,2021-01-12,26410
Delaware,,2021-01-13,28413
Delaware,,2021-01-14,31090
Delaware,,2021-01-15,31090
Delaware,,2021-01-19,42557
Delaware,,2021-01-20,45640
Delaware,,2021-01-21,49369
Delaware,,2021-01-22,54257
Delaware,,2021-01-23,60023
Delaware,,2021-01-24,64186
Delaware,,2021-01-25,66914
Delaware,,2021-01-26,68507
Delaware,,2021-01-27,77449
Delaware,,2021-01-28,82289
Delaware,,2021-01-29,87300
Delaware,,2021-01-30,92509
Delaware,,2021-01-31,99954
Delaware,,2021-02-01,102697
Delaware,,2021-02-02,103770
Delaware,,2021-02-03,107544
Delaware,,2021-02-04,110784
Delaware,,2021-02-05,114226
Delaware,,2021-02-06,118475
Delaware,,2021-02-07,123428
Delaware,,2021-02-08,126650
Delaware,,2021-02-09,127523
Delaware,,2021-02-10,130116
Delaware,,2021-02-11,133370
Delaware,,2021-02-12,136591
Delaware,,2021-02-13,142103
Delaware,,2021-02-14,146437
Delaware,,2021-02-16,152387
Delaware,,2021-02-17,155111
Delaware,,2021-02-18,159845
Delaware,,2021-02-19,175305
Delaware,,2021-02-20,180600
Delaware,,2021-02-21,180940
Delaware,,2021-02-22,183901
Delaware,,2021-02-23,186619
Delaware,,2021-02-24,189836
Delaware,,2021-02-25,195534
Delaware,,2021-02-26,203745
Delaware,,2021-02-27,212739
Delaware,,2021-02-28,219312
Delaware,,2021-03-01,225374
Delaware,,2021-03-02,225417
Delaware,,2021-03-03,237669
Delaware,,2021-03-04,246194
Delaware,,2021-03-05,255036
Delaware,,2021-03-06,264601
Delaware,,2021-03-07,275467
Delaware,,2021-03-08,280674
Delaware,,2021-03-09,285101
Delaware,,2021-03-10,285262
Delaware,,2021-03-11,299695
Dept of Defense,,2021-01-12,139439
Dept of Defense,,2021-01-13,139993
Dept of Defense,,2021-01-14,179724
Dept of Defense,,2021-01-15,201485
Dept of Defense,,2021-01-19,254778
Dept of Defense,,2021-01-20,256867
Dept of Defense,,2021-01-21,274473
Dept of Defense,,2021-01-22,292490
Dept of Defense,,2021-01-23,311567
Dept of Defense,,2021-01-24,336450
Dept of Defense,,2021-01-25,346180
Dept of Defense,,2021-01-26,346180
Dept of Defense,,2021-01-27,366010
Dept of Defense,,2021-01-28,389927
Dept of Defense,,2021-01-29,415720
Dept of Defense,,2021-01-30,449958
Dept of Defense,,2021-01-31,481172
Dept of Defense,,2021-02-01,485125
Dept of Defense,,2021-02-02,490377
Dept of Defense,,2021-02-03,508965
Dept of Defense,,2021-02-04,530849
Dept of Defense,,2021-02-05,559379
Dept of Defense,,2021-02-06,588731
Dept of Defense,,2021-02-07,621487
Dept of Defense,,2021-02-08,632927
Dept of Defense,,2021-02-09,637359
Dept of Defense,,2021-02-10,657414
Dept of Defense,,2021-02-11,679431
Dept of Defense,,2021-02-12,701736
Dept of Defense,,2021-02-13,726338
Dept of Defense,,2021-02-14,751746
Dept of Defense,,2021-02-16,754935
Dept of Defense,,2021-02-17,759117
Dept of Defense,,2021-02-18,791494
Dept of Defense,,2021-02-19,810065
Dept of Defense,,2021-02-20,830843
Dept of Defense,,2021-02-21,854728
Dept of Defense,,2021-02-22,865896
Dept of Defense,,2021-02-23,868322
Dept of Defense,,2021-02-24,887011
Dept of Defense,,2021-02-25,907189
Dept of Defense,,2021-02-26,928797
Dept of Defense,,2021-02-27,957910
Dept of Defense,,2021-02-28,992748
Dept of Defense,,2021-03-01,995054
Dept of Defense,,2021-03-02,996120
Dept of Defense,,2021-03-03,1017839
Dept of Defense,,2021-03-04,1039783
Dept of Defense,,2021-03-05,1065268
Dept of Defense,,2021-03-06,1094565
Dept of Defense,,2021-03-07,1130833
Dept of Defense,,2021-03-08,1141841
Dept of Defense,,2021-03-09,1320734
Dept of Defense,,2021-03-10,1343861
Dept of Defense,,2021-03-11,1374234
District of Columbia,,2021-01-12,29812
District of Columbia,,2021-01-13,33049
District of Columbia,,2021-01-14,36679
District of Columbia,,2021-01-15,39934
District of Columbia,,2021-01-19,49988
District of Columbia,,2021-01-20,51733
District of Columbia,,2021-01-21,55108
District of Columbia,,2021-01-22,56864
District of Columbia,,2021-01-23,59793
District of Columbia,,2021-01-24,62391
District of Columbia,,2021-01-25,64194
District of Columbia,,2021-01-26,64748
District of Columbia,,2021-01-27,68086
District of Columbia,,2021-01-28,70839
District of Columbia,,2021-01-29,73328
District of Columbia,,2021-01-30,76672
District of Columbia,,2021-01-31,80526
District of Columbia,,2021-02-01,82519
District of Columbia,,2021-02-02,83553
District of Columbia,,2021-02-03,85065
District of Columbia,,2021-02-04,94095
District of Columbia,,2021-02-05,98862
District of Columbia,,2021-02-06,102031
District of Columbia,,2021-02-07,105819
District of Columbia,,2021-02-08,108475
District of Columbia,,2021-02-09,108475
District of Columbia,,2021-02-10,108475
District of Columbia,,2021-02-11,111720
District of Columbia,,2021-02-12,114110
District of Columbia,,2021-02-13,116261
District of Columbia,,2021-02-14,121313
District of Columbia,,2021-02-16,126500
District of Columbia,,2021-02-17,128460
District of Columbia,,2021-02-18,130437
District of Columbia,,2021-02-19,157111
District of Columbia,,2021-02-20,159640
District of Columbia,,2021-02-21,162674
District of Columbia,,2021-02-22,164207
District of Columbia,,2021-02-23,166724
District of Columbia,,2021-02-24,170343
District of Columbia,,2021-02-25,173030
District of Columbia,,2021-02-26,176044
District of Columbia,,2021-02-27,184748
District of Columbia,,2021-02-28,194746
District of Columbia,,2021-03-01,198047
District of Columbia,,2021-03-02,199212
District of Columbia,,2021-03-03,202090
District of Columbia,,2021-03-04,207421
District of Columbia,,2021-03-05,211736
District of Columbia,,2021-03-06,220634
District of Columbia,,2021-03-07,225875
District of Columbia,,2021-03-08,230110
District of Columbia,,2021-03-09,232666
District of Columbia,,2021-03-10,238189
District of Columbia,,2021-03-11,244060
Federated States of Micronesia,,2021-01-12,424
Federated States of Micronesia,,2021-01-13,565
Federated States of Micronesia,,2021-01-14,605
Federated States of Micronesia,,2021-01-15,694
Federated States of Micronesia,,2021-01-19,1436
Federated States of Micronesia,,2021-01-20,1756
Federated States of Micronesia,,2021-01-21,2087
Federated States of Micronesia,,2021-01-22,2514
Federated States of Micronesia,,2021-01-23,2752
Federated States of Micronesia,,2021-01-24,2752
Federated States of Micronesia,,2021-01-25,2758
Federated States of Micronesia,,2021-01-26,2977
Federated States of Micronesia,,2021-01-27,3241
Federated States of Micronesia,,2021-01-28,3502
Federated States of Micronesia,,2021-01-29,3965
Federated States of Micronesia,,2021-01-30,3965
Federated States of Micronesia,,2021-01-31,3965
Federated States of Micronesia,,2021-02-01,5110
Federated States of Micronesia,,2021-02-02,5726
Federated States of Micronesia,,2021-02-03,6254
Federated States of Micronesia,,2021-02-04,6699
Federated States of Micronesia,,2021-02-05,7005
Federated States of Micronesia,,2021-02-06,7335
Federated States of Micronesia,,2021-02-07,7415
Federated States of Micronesia,,2021-02-08,7449
Federated States of Micronesia,,2021-02-09,7725
Federated States of Micronesia,,2021-02-10,8017
Federated States of Micronesia,,2021-02-11,8365
Federated States of Micronesia,,2021-02-12,8751
Federated States of Micronesia,,2021-02-13,9230
Federated States of Micronesia,,2021-02-14,9415
Federated States of Micronesia,,2021-02-16,9980
Federated States of Micronesia,,2021-02-17,10603
Federated States of Micronesia,,2021-02-18,11119
Federated States of Micronesia,,2021-02-19,11590
Federated States of Micronesia,,2021-02-20,11590
Federated States of Micronesia,,2021-02-21,12196
Federated States of Micronesia,,2021-02-22,12196
Federated States of Micronesia,,2021-02-23,12196
Federated States of Micronesia,,2021-02-24,12999
Federated States of Micronesia,,2021-02-25,13320
Federated States of Micronesia,,2021-02-26,13819
Federated States of Micronesia,,2021-02-27,14317
Federated States of Micronesia,,2021-02-28,14715
Federated States of Micronesia,,2021-03-01,15022
Federated States of Micronesia,,2021-03-02,15705
Federated States of Micronesia,,2021-03-03,16189
Federated States of Micronesia,,2021-03-04,16578
Federated States of Micronesia,,2021-03-05,17098
Federated States of Micronesia,,2021-03-06,17624
Federated States of Micronesia,,2021-03-07,17745
Federated States of Micronesia,,2021-03-08,17745
Federated States of Micronesia,,2021-03-09,18133
Federated States of Micronesia,,2021-03-10,18423
Federated States of Micronesia,,2021-03-11,18689
Florida,,2021-01-12,633440
Florida,,2021-01-13,705398
Florida,,2021-01-14,774485
Florida,,2021-01-15,853081
Florida,,2021-01-19,1174685
Florida,,2021-01-20,1239975
Florida,,2021-01-21,1239975
Florida,,2021-01-22,1314377
Florida,,2021-01-23,1489003
Florida,,2021-01-24,1544794
Florida,,2021-01-25,1544794
Florida,,2021-01-26,1575490
Florida,,2021-01-27,1632491
Florida,,2021-01-28,1707251
Florida,,2021-01-29,1796246
Florida,,2021-01-30,1890198
Florida,,2021-01-31,1959626
Florida,,2021-02-01,2005378
Florida,,2021-02-02,2048143
Florida,,2021-02-03,2133168
Florida,,2021-02-04,2223754
Florida,,2021-02-05,2260744
Florida,,2021-02-06,2385839
Florida,,2021-02-07,2607527
Florida,,2021-02-08,2607527
Florida,,2021-02-09,2731300
Florida,,2021-02-10,2835535
Florida,,2021-02-11,2957730
Florida,,2021-02-12,3216044
Florida,,2021-02-13,3351430
Florida,,2021-02-14,3467856
Florida,,2021-02-16,3598996
Florida,,2021-02-17,3702569
Florida,,2021-02-18,3819224
Florida,,2021-02-19,4198451
Florida,,2021-02-20,4205898
Florida,,2021-02-21,4387051
Florida,,2021-02-22,4390626
Florida,,2021-02-23,4406005
Florida,,2021-02-24,4502702
Florida,,2021-02-25,4605201
Florida,,2021-02-26,4704530
Florida,,2021-02-27,4822353
Florida,,2021-02-28,5044420
Florida,,2021-03-01,5047960
Florida,,2021-03-02,5077891
Florida,,2021-03-03,5167346
Florida,,2021-03-04,5314200
Florida,,2021-03-05,5448653
Florida,,2021-03-06,5688357
Florida,,2021-03-07,5900450
Florida,,2021-03-08,5904827
Florida,,2021-03-09,5961421
Florida,,2021-03-10,6070173
Florida,,2021-03-11,6332072
Georgia,GEO,2021-01-12,170571
Georgia,GEO,2021-01-13,198756
Georgia,GEO,2021-01-14,231305
Georgia,GEO,2021-01-15,231305
Georgia,GEO,2021-01-19,312336
Georgia,GEO,2021-01-20,397048
Georgia,GEO,2021-01-21,453862
Georgia,GEO,2021-01-22,603486
Georgia,GEO,2021-01-23,604067
Georgia,GEO,2021-01-24,604067
Georgia,GEO,2021-01-25,604067
Georgia,GEO,2021-01-26,668589
Georgia,GEO,2021-01-27,712866
Georgia,GEO,2021-01-28,764211
Georgia,GEO,2021-01-29,810291
Georgia,GEO,2021-01-30,856746
Georgia,GEO,2021-01-31,906186
Georgia,GEO,2021-02-01,930517
Georgia,GEO,2021-02-02,940066
Georgia,GEO,2021-02-03,975038
Georgia,GEO,2021-02-04,1008040
Georgia,GEO,2021-02-05,1051622
Georgia,GEO,2021-02-06,1098863
Georgia,GEO,2021-02-07,1146024
